ticker,name,category,data_available,start_date,end_date,trading_days,mean_volume,latest_price
ICLN,iShares Global Clean Energy ETF,ETF,No,,,0,0.0,
TAN,Invesco Solar ETF,ETF,No,,,0,0.0,
QCLN,First Trust NASDAQ Clean Edge Green Energy,ETF,No,,,0,0.0,
PBW,Invesco WilderHill Clean Energy ETF,ETF,No,,,0,0.0,
ACES,ALPS Clean Energy ETF,ETF,No,,,0,0.0,
ERTH,Invesco MSCI Sustainable Future ETF,ETF,No,,,0,0.0,
FAN,First Trust Global Wind Energy ETF,ETF,No,,,0,0.0,
SMOG,VanEck Low Carbon Energy ETF,ETF,No,,,0,0.0,
ADANIGREEN.NS,Adani Green Energy,India,No,,,0,0.0,
TATAPOWER.NS,Tata Power,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,22563450.95102041,384.45001220703125
SUZLON.NS,Suzlon Energy,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,71668953.60136054,50.849998474121094
POWERGRID.NS,Power Grid Corporation,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,17009626.493197277,269.1000061035156
NTPC.NS,NTPC,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,17087356.881632652,322.95001220703125
NHPC.NS,NHPC Limited,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,22494312.782312926,76.88999938964844
SJVN.NS,SJVN Limited,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,10460681.921768708,75.37999725341797
JINDALSAW.NS,Jindal Saw,India,Yes,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,3163619.826530612,164.0
ORIENTGREEN.NS,Orient Green Power,India,No,,,0,0.0,
WEBSOL.NS,Websol Energy System,India,No,,,0,0.0,
FSLR,First Solar,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,2419456.6154362415,257.3599853515625
ENPH,Enphase Energy,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,4437012.472483221,29.982900619506836
SEDG,SolarEdge Technologies,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,2210216.854362416,31.729999542236328
RUN,Sunrun,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,8999377.15771812,17.924999237060547
NOVA,Sunnova Energy,Global,No,,,0,0.0,
MAXN,Maxeon Solar Technologies,Global,Yes,2020-08-26 00:00:00-04:00,2025-12-04 00:00:00-05:00,1326,155098.62292609352,2.962100028991699
NEE,NextEra Energy,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,9625655.697315436,83.08000183105469
AES,AES Corporation,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,7548095.701342282,13.96500015258789
DUK,Duke Energy,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,3201604.7825503354,118.1500015258789
SO,Southern Company,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,4593413.981879194,87.44499969482422
BEP,Brookfield Renewable Partners,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,501146.1167785235,28.34000015258789
BEPC,Brookfield Renewable Corporation,Global,Yes,2020-07-24 00:00:00-04:00,2025-12-04 00:00:00-05:00,1349,839499.0985915493,40.220001220703125
CWEN,Clearway Energy,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,839951.1523489933,34.439998626708984
NEP,NextEra Energy Partners,Global,No,,,0,0.0,
JKS,JinkoSolar,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,1548482.5060402683,24.129899978637695
DQ,Daqo New Energy,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,1504620.4154362415,30.709999084472656
CSIQ,Canadian Solar,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,1573898.956375839,24.6200008392334
SOL,ReneSola,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,899179.7845637584,1.7300000190734863
DNNGY,Orsted ADR,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,80196.87382550335,7.130000114440918
IBDRY,Iberdrola ADR,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,102703.34496644295,83.86000061035156
PLUG,Plug Power (hydrogen),Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,39053886.82684564,2.2088000774383545
BE,Bloom Energy (fuel cells),Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,5189777.931543624,116.31500244140625
BLNK,Blink Charging,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,3905748.13557047,1.4249999523162842
CHPT,ChargePoint,Global,Yes,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,513050.5758389262,8.640000343322754
